name;value;
stream type;AVC/H.264;
profile;High;
level;3.1;
chroma format;4:2:0;
resolution;540 x 960;
frame rate;30;
coding mode;CABAC;
bitrate;undefined;
duration;00:00:10:666;
epsnr [255];38.98;
frames;
  count;320;
    I;2 (0.62%);
    P;123 (38.43%);
    B;195 (60.93%);
  size (byte) / encode ratio (avg);3835 / 202;
    I;29 802 / 26;
    P;6 894 / 112;
    B;1 638 / 474;
bit allocation;
  max;1 081 584;
  avg;889 256;
  min;814 552;
qp [0-256];
  qp min;4;
  qp avg;25.89;
  qp max;38;
distribution (bits);
    total;30 584 (100.00%);
    mb_skip;741 (2.42%);
    mb_field_decoding_flag;0 (0.00%);
    mb_type;2 008 (6.57%);
    sub_mb_type;0 (0.00%);
prediction;
    pred_mode_flag;339 (1.11%);
    pred_mode;862 (2.82%);
    inter_prediction;8 267 (27.03%);
transform;
    coded_block_pattern;2 912 (9.52%);
    transform_size_8x8_flag;88 (0.29%);
    mb_qp_delta;1 637 (5.36%);
    transform;12 334 (40.33%);
    pcm_data;0 (0.00%);
